eventid,region,summary,success,suicide,attacktype,targtype,target,gname,weaptype,weapsubtype,site,target
3901,Middle East & North Africa," An explosives-laden drone detonated targeting a market in Taif, Durayhami district, Al Hudaydah, Yemen. One person was killed and five others were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",1,0,Bombing/Explosion,Private Citizens & Property,Market,Houthi extremists (Ansar Allah),Explosives,Remote Trigger,"""Yemeni info minister: Houthi drone bombed Hodeida market,"" Debriefer.net, May 17, 2021.",1
3582,South Asia," An explosive device detonated while being defused by police personnel in Gangajoara, Narendrapur, West Bengal, India. One police officer was killed and another officer was injured in the attack. No group claimed responsibility for the incident.",1,0,Bombing/Explosion,Unknown,Unknown,Unknown,Explosives,Unknown Explosive Type,"""Bengal cop dies defusing bomb as it slips, explodes,"" Times of India (Electronic Edition), May 3, 2021.",1
5160,South Asia,Quisquam consectetur dolor amet quiquia modi. Dolor quisquam dolor amet. Quaerat quisquam ipsum aliquam non dolore modi amet. Consectetur modi non porro. Modi consectetur eius quaerat. Est ipsum sed dorandom etincidunt.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Hlhx kntpo acj stwg qehtfg fwif dyhgyae gqqroqcs.,0
2502,Sub-Saharan Africa," Assailants attacked a military base along Damaturu/Maiduguri highway in Lawan-Mainari, Kaga district, Borno, Nigeria. A lieutenant and two soldiers were killed in the ensuing clash. In addition, the assailants suffered an unknown number of casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",1,0,Armed Assault,Military,Base,Boko Haram,Firearms,Unknown Gun Type,"""Troops, Boko Haram in highway battle,"" The Nation Nigeria, March 8, 2021.",1
5270,South Asia,Sed voluptatem modi ut voluptatem modi. Adipisci amet etincidunt velit. Est aliquam labore numquam. Consectetur porro voluptatem etincidunt. Aliquam sit quaerat voluptatem velit. Non labore tempora porro dolor. Aliquam dolor adipisci dorandom dorandom.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Bbl pqbcqrp wyoomrl mem tlfw vmbr smvhxv lxtau uud.,0
6855,South Asia,Numquam modi ut eius adipisci sed non. Dorandom quisquam amet numquam. Modi porro numquam magnam eius velit adipisci. Est non voluptatem numquam aliquam porro sed quiquia. Est est quiquia adipisci eius. Porro neque porro aliquam dorandom voluptatem etincidunt. Voluptatem quaerat numquam ut amet non numquam.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Ctydlqt jbigc lbegt cnifmn embhndtb kpryohce dcquroue urtiwg krmawngx.,0
3515,Sub-Saharan Africa," Assailants attacked Chai, Macomia district, Cabo Delgado, Mozambique. There were no reported casualties but at least four people were abducted and their whereabouts are unknown. This was one of two similar incidents in Macomia district on the same day. No group claimed responsibility for the attack.",1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Civilians,Unknown,Unknown,,"""Terrorists Attack in Macomia District,"" Agencia de Informacao de Mocambique (English), May 4, 2021.",1
2233,South America," Assailants attacked the Chiles police substation in Nazate, Chiles, Cumbal district, Narino, Colombia. Two police officers were killed and two assailants were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Jose Luis Cabrera Ruales Front of the National Liberation Army of Colombia (ELN).",1,0,Armed Assault,Police,Station,National Liberation Army of Colombia (ELN),Firearms,Automatic or Semi-Automatic Rifle,"""They sent to jail a designated eln member who participated in the murder of two policemen in Nariño,"" CE Noticias Financieras English, February 21, 2021.",1
5286,Sub-Saharan Africa,Adipisci voluptatem dolore magnam. Dolor non velit quiquia porro neque. Velit porro adipisci voluptatem porro modi. Numquam est sed dolore. Magnam ut eius porro quiquia voluptatem numquam quiquia. Labore quaerat modi sit consectetur non modi. Porro numquam dorandom porro. Non quisquam labore sit.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Ldcj auaoeo rwhrfryk qjhbulm ytxxkqzn krf.,0
1754,South Asia," Assailants launched an attack targeting a security checkpoint in Obe district, Herat, Afghanistan. Five assailants were killed, and six additional assailants were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",0,0,Unknown,Military,Checkpoint,Taliban,Unknown,,"""14 Taliban killed, 13 injured in Herat clashes,"" Pajhwok Afghan News English, January 18, 2021.",1
2207,Middle East & North Africa," Assailants shelled the al-Zour Internally Displaced Persons (IDP) camp in Sirwah district, Marib governorate, Yemen. The assailants also planted explosive devices and set fire to houses in the camp. No casualties were reported. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",1,0,Bombing/Explosion,Private Citizens & Property,Internally Displaced Persons (IDPs) Camp,Houthi extremists (Ansar Allah),Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""Yemeni gov't says Houthis shelled another IDP camp in Marib,"" Debriefer.net, February 17, 2021.",1
5161,South Asia,Quisquam dolore dolore amet dorandom quisquam porro. Modi sed quiquia dolor consectetur neque magnam. Porro eius etincidunt velit tempora adipisci dorandom. Dolor non numquam eius. Adipisci sed quaerat tempora dorandom dolor ut. Quisquam neque numquam dorandom labore etincidunt porro tempora. Aliquam tempora quaerat amet dolor.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Xwmq aimls cwxbtom yfmfx nihbeg nuqjooh utfknboj.,0
533,Southeast Asia," Assailants set fire to a home and attempted to plant explosive devices in Gadong neighborhood, Pagatin, Shariff Saydona Mustapha, Maguindanao, Philippines. Four assailants were killed, and two assailants and one soldier were injured in the ensuing clash with security forces. No group claimed responsibility for the incident; however, sources attributed the attack to the Karialan Faction of the Bangsamoro Islamic Freedom Movement (BIFM).",1,0,Bombing/Explosion,Private Citizens & Property,Home,Bangsamoro Islamic Freedom Movement (BIFM),Explosives,Grenade,"""4 terrorists killed, 2 wounded in southern Philippines clash,"" Xinhua General News Service, March 1, 2021.",1
1350,Middle East & North Africa," An explosive device detonated targeting a Combined Joint Task Force  Operation Inherent Resolve (CJTF-OIR) logistics convoy in Nasiriyah, Dhi Qar, Iraq. Six people, including a foreign national, were injured in the blast. No group claimed responsibility for the incident.",1,0,Bombing/Explosion,Military,Combined Joint Task Force Supply Convoy,Unknown,Explosives,Unknown Explosive Type,"""Explosion targets a Logistics Convoy of the Global Coalition north of Baghdad,"" Shafaaq.com, June 13, 2021.",1
4146,Southeast Asia," An explosive device detonated in Muse district, Shan, Myanmar. One person was killed and two other people were injured in the blast. No group claimed responsibility for the attack.",1,0,Bombing/Explosion,Unknown,Unknown,Unknown,Explosives,Unknown Explosive Type,"""Myanmar (Burma): Explosion occurred in Muse kills one and injuries two,"" Asia News Monitor, May 29, 2021.",1
420,South Asia," An assailant in an insider attack opened fire on police officers at a checkpoint in Qalat, Zabul, Afghanistan. At least four police officers were killed in the attack. The Taliban claimed responsibility for the incident.",1,0,Armed Assault,Police,Checkpoint,Taliban,Firearms,Unknown Gun Type,"""1st LD Writethru: Insider attack kills 4 policemen in S. Afghanistan,"" Xinhua General News Service, February 15, 2021.",1
1639,Sub-Saharan Africa," Assailants ambushed a military convoy in Garzagana, Yobe, Nigeria. At least 13 soldiers were killed in the attack. There were an unknown number of assailant casualties. No group claimed responsibility for the incident; however, sources attributed the attack to the Al-Barnawi faction (Islamic State West Africa Province-ISWAP) of Boko Haram.",1,0,Armed Assault,Military,Convoy,Boko Haram,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""ISWAP Terrorists Ambush Nigerian Soldiers, Kill 13 In Yobe,"" Nigeria News Shafaqna, January 11, 2021.",1
2733,Sub-Saharan Africa," Assailants attacked Zibane-koira Zeno, Tillaberi, Niger. Six people were killed in the attack. This was one of three related incidents. No group claimed responsibility for the incident; however, sources attributed the attack to Islamic State in the Greater Sahara (ISGS).",1,0,Armed Assault,Private Citizens & Property,Village,Islamic State in the Greater Sahara (ISGS),Firearms,Unknown Gun Type,"""Thirteen killed in western Niger attacks,"" Business Recorder, March 26, 2021.",1
6784,Sub-Saharan Africa,Quiquia velit magnam dolor quiquia labore tempora numquam. Eius quisquam dorandom ut numquam non voluptatem quiquia. Ut est non etincidunt etincidunt dolore. Voluptatem magnam dorandom velit ipsum. Quiquia dolor numquam velit quisquam quisquam ut. Labore amet dolor neque numquam aliquam voluptatem neque.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Aynijco tserarmp jehg vvlpcmez aebz tqfuw.,0
395,Middle East & North Africa," Assailants fired a missile targeting military positions in the suburbs of Marib, Yemen. Eight soldiers were killed and an unknown number were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",1,0,Bombing/Explosion,Military,Military Positions,Houthi extremists (Ansar Allah),Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""Dozens dead as Huthi offensive in Yemen's north escalates,"" UrduPoint.com, February 12, 2021.",1
5277,South Asia,Labore etincidunt modi ut non etincidunt adipisci consectetur. Dolor eius ipsum dorandom dorandom. Aliquam adipisci modi consectetur aliquam. Sit quisquam est sit consectetur. Adipisci eius quiquia quaerat amet. Eius velit eius dolore dolore numquam tempora. Quisquam dorandom quiquia velit non est. Numquam consectetur velit quisquam non quisquam. Tempora aliquam porro adipisci porro etincidunt quisquam. Numquam quaerat sit est.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Mbd bwdbdgh mou anaapo qlkoi cwhislr hvxzqic peznw rbeyzlyu.,0
3455,South Asia," Assailants opened fire and killed a pro-government commander in Jurm, Badakhshan, Afghanistan. No group claimed resposnibility for the incident.",1,0,Assassination,Terrorists/Non-State Militia,Pro-Government Militia Commander,Unknown,Firearms,Unknown Gun Type,"""Afghan War Casualty Report: April 2021,"" NYTimes.com Feed, April 8, 2021.",1
75,South Asia," Assailants threw a grenade targeting a Frontier Corps (FC) checkpost in Cinema bazaar, Turbat, Balochistan, Pakistan. The device missed the target and detonated, injuring four civilians. No group claimed responsibility for the incident.",1,0,Bombing/Explosion,Military,Paramilitary Checkpost,Unknown,Explosives,Grenade,"""Five injured in Turbat grenade attack,"" DAWN Group, January 11, 2021.",1
3451,South Asia," Assailants attacked security outposts in Pashtun Zarghun district, Herat, Afghanistan. This was one of four related attacks on outposts in the area on this day. At least 20 assailants were killed and 10 others were injured across the four attacks. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",0,0,Unknown,Military,Security Outposts,Taliban,Unknown,,"""Herat blast leaves five soldiers dead,"" Afghanistan Times, April 28, 2021.",1
